location_country,date_year,gross_enrolment_ratio_tertiary_both_sexes_percent
Afghanistan,1970,0.768169999
Afghanistan,1971,0.923940003
Afghanistan,1972,0.952409983
Afghanistan,1973,1.097450018
Afghanistan,1974,1.026200056
Afghanistan,1975,1.080119967
Afghanistan,1976,1.222640038
Afghanistan,1977,1.358270049
Afghanistan,1978,1.746610045
Afghanistan,1979,1.881790042
Afghanistan,1982,1.744120002
Afghanistan,1986,2.204299927
Afghanistan,1987,1.743430018
Afghanistan,1990,2.273169994
Afghanistan,2003,1.256839991
Afghanistan,2004,1.256029963
Afghanistan,2009,3.903389931
Afghanistan,2011,3.755980015
Afghanistan,2014,8.662799835
Albania,1971,13.90859032
Albania,1972,14.92860985
Albania,1978,5.831719875
Albania,1981,5.189660072
Albania,1983,5.926320076
Albania,1984,6.560269833
Albania,1985,7.026239872
Albania,1986,7.221590042
Albania,1987,7.327420235
Albania,1988,7.738810062
Albania,1989,8.149889946
Albania,1990,8.369110107
Albania,1991,8.859930038
Albania,1992,9.29417038
Albania,1993,11.18873978
Albania,1994,10.6477499
Albania,1995,10.22033978
Albania,1996,10.96304989
Albania,1997,12.73375988
Albania,1998,13.59475994
Albania,1999,14.80504036
Albania,2000,15.6037302
Albania,2001,15.97496033
Albania,2002,16.43170929
Albania,2003,16.80555916
Albania,2004,20.05554008
Albania,2005,23.31110001
Albania,2006,26.62043953
Albania,2007,30.65366936
Albania,2008,32.07780075
Albania,2009,33.40074921
Albania,2010,44.54064941
Albania,2011,49.67039871
Albania,2012,58.56549072
Albania,2013,62.54776001
Albania,2014,62.70684814
Albania,2015,58.10995102
Algeria,1987,8.997110367
Algeria,1988,8.819529533
Algeria,1990,10.24524975
Algeria,1991,10.96181011
Algeria,1992,11.09426022
Algeria,1993,10.9375
Algeria,1994,10.4201498
Algeria,1995,10.10529041
Algeria,1996,11.36205959
Algeria,1999,13.65025043
Algeria,2001,15.56346035
Algeria,2002,17.27210999
Algeria,2003,18.47307014
Algeria,2004,19.04335976
Algeria,2005,20.76147079
Algeria,2006,21.2300396
Algeria,2007,23.4881897
Algeria,2009,29.81871986
Algeria,2010,29.83456039
Algeria,2011,31.20259094
Algeria,2012,32.23133087
Algeria,2013,33.96575928
Algeria,2014,34.59381104
Algeria,2015,36.92227936
Angola,1988,0.565559983
Angola,1989,0.546549976
Angola,1990,0.568279982
Angola,1991,0.572730005
Angola,1992,0.535279989
Angola,1998,0.598010004
