location_country,date_year,proportion_of_individuals_who_own_a_mobile_telephone_by_gender_percent_of_male,proportion_of_individuals_who_own_a_mobile_telephone_by_gender_percent_of_both_sexes,proportion_of_individuals_who_own_a_mobile_telephone_by_gender_percent_of_female
Afghanistan,2016,,46.82,
Algeria,2018,92.62,87.88,83.07
Armenia,2017,72.57,72.61,72.64
Armenia,2018,75.95,76.43,76.82
Azerbaijan,2014,77.21,73.92,70.66
Azerbaijan,2015,77.81,74.12,70.47
Azerbaijan,2016,77.01,73.42,69.84
Azerbaijan,2017,88.38,84,79.72
Azerbaijan,2018,87.75,83.5,79.34
Azerbaijan,2019,87.64,83.5,79.43
Bahrain,2015,100,100,100
Bahrain,2016,100,100,100
Bahrain,2017,100,100,100
Bahrain,2018,100,100,100
Bahrain,2019,100,100,100
Bangladesh,2017,54.3,42.51,30.91
Bangladesh,2019,,71.4,
Belarus,2017,91.48,93.49,94.99
Belarus,2018,93.69,94.84,95.7
Belarus,2019,93.95,95.26,96.26
Brazil,2014,83.3,84.35,85.34
Brazil,2015,82.2,83.89,85.46
Brazil,2016,81.76,82.89,83.95
Brazil,2017,82.58,83.1,83.58
Brazil,2018,81.95,83.02,84.01
Brazil,2019,83.14,84.52,85.79
British Virgin Islands,2016,75.6,76.91,78.23
British Virgin Islands,2017,75.6,76.9,77.42
Brunei,2016,99,99,99
Brunei,2019,90.87,94,98.7
Burundi,2014,16.03,11.43,7.27
Burundi,2017,25.34,18.38,11.87
Cambodia,2017,25.72,26.32,26.9
Cambodia,2018,32.26,32.68,33.08
Cameroon,2014,,75.37,
Cape Verde,2015,74.1,71.04,68.46
Cape Verde,2016,73.61,72.39,71.19
Cape Verde,2017,74.66,74.21,73.75
Cape Verde,2019,72.53,71.68,70.83
Chile,2016,91.56,95.32,98.82
Chile,2017,86.67,92.01,97.15
China,2017,97.6,97.55,97.5
China,2018,95.26,95.6,95.93
China,2019,97.45,96.14,94.88
China,2020,,64.07,
"China, Hong Kong Special Administrative Region",2014,95.53,94.81,94.15
"China, Hong Kong Special Administrative Region",2015,96.8,96.05,95.37
"China, Hong Kong Special Administrative Region",2016,96.93,96.12,95.38
"China, Hong Kong Special Administrative Region",2017,97.36,96.82,96.33
"China, Hong Kong Special Administrative Region",2018,97.09,96.62,96.2
"China, Hong Kong Special Administrative Region",2019,97.68,97.06,96.51
Colombia,2014,68.03,69.32,70.57
Colombia,2015,70.08,71.47,72.82
Colombia,2016,70.98,72.06,73.1
Colombia,2017,71.81,73.15,74.46
Colombia,2018,70.95,72.16,73.33
Colombia,2019,71.91,73.06,74.18
Costa Rica,2015,85.8,86.02,86.23
Cote d'Ivoire,2017,81.38,64.83,47.19
Cote d'Ivoire,2018,74.75,66.43,57.56
Cote d'Ivoire,2019,71.03,67.61,64.34
Cote d'Ivoire,2015,,54.59,
Cote d'Ivoire,2016,,59.84,
Cuba,2014,,24.13,
Cuba,2015,,31.92,
Cuba,2016,,37.97,
Cuba,2019,,54.95,
Curacao,2017,86.45,87.25,87.9
Cyprus,2014,98.31,96.65,95.13
Cyprus,2015,99.33,97.88,96.53
Cyprus,2016,96.51,94.65,92.94
Cyprus,2018,99.11,98.64,98.2
Cyprus,2017,,99.4,98.67
Czechia,2014,97.38,96.83,96.3
Czechia,2015,97.18,97.01,96.86
Czechia,2018,96.46,95.99,95.55
Democratic Republic of Congo,2018,53.2,,33.4
Denmark,2016,82.47,82.82,83.16
Djibouti,2017,61.32,56.34,51.57
Dominican Republic,2016,83.92,83.93,83.95
Dominican Republic,2017,69.63,69.34,69.06
Dominican Republic,2018,70.98,70.69,70.41
Dominican Republic,2015,,91.9,
Ecuador,2014,54.92,53.94,52.99
Ecuador,2015,56.5,55.43,54.41
Ecuador,2016,56.95,56.12,55.31
Ecuador,2017,59.08,58.51,57.96
Ecuador,2018,60.42,59.02,57.66
Ecuador,2019,61.67,59.91,58.23
Egypt,2014,82.92,80.98,78.96
Egypt,2015,86.64,84.78,82.88
Egypt,2016,90.67,87.5,84.2
Egypt,2017,98.55,97.84,97.12
Egypt,2018,99.29,98.25,97.2
Egypt,2019,99.84,99.1,98.36
El Salvador,2014,80.43,79.12,77.98
El Salvador,2015,81.01,79.65,78.45
Ethiopia,2015,,50,
Ethiopia,2016,,58.29,
Finland,2014,98.66,98.51,98.37
Finland,2015,99.08,98.38,97.7
Finland,2016,98.78,98.45,98.12
Finland,2017,99.15,98.86,98.59
Finland,2018,98.87,98.41,97.96
France,2018,79.58,78.65,77.8
Gambia,2018,85.1,,74.1
Georgia,2016,80.82,78.37,76.18
