location_country,nri_index,date_year
Singapore,6,2016
Finland,6,2016
Sweden,5.8,2016
Norway,5.8,2016
United States,5.8,2016
Netherlands,5.8,2016
Switzerland,5.8,2016
United Kingdom,5.7,2016
Luxembourg,5.7,2016
Japan,5.6,2016
Denmark,5.6,2016
Hong Kong SAR,5.6,2016
"Korea, Rep.",5.6,2016
Canada,5.6,2016
Germany,5.6,2016
Iceland,5.5,2016
New Zealand,5.5,2016
Australia,5.5,2016
"Taiwan, China",5.5,2016
Austria,5.4,2016
Israel,5.4,2016
Estonia,5.4,2016
Belgium,5.4,2016
France,5.3,2016
Ireland,5.3,2016
United Arab Emirates,5.3,2016
Qatar,5.2,2016
Bahrain,5.1,2016
Lithuania,4.9,2016
Portugal,4.9,2016
Malaysia,4.9,2016
Latvia,4.8,2016
Saudi Arabia,4.8,2016
Malta,4.8,2016
Spain,4.8,2016
Czech Republic,4.7,2016
Slovenia,4.7,2016
Chile,4.6,2016
Kazakhstan,4.6,2016
Cyprus,4.6,2016
Russian Federation,4.5,2016
Poland,4.5,2016
Uruguay,4.5,2016
Costa Rica,4.5,2016
Italy,4.4,2016
North Macedonia,4.4,2016
Slovak Republic,4.4,2016
Turkey,4.4,2016
Mauritius,4.4,2016
Hungary,4.4,2016
Montenegro,4.3,2016
Oman,4.3,2016
Azerbaijan,4.3,2016
Croatia,4.3,2016
Panama,4.3,2016
Armenia,4.3,2016
Mongolia,4.3,2016
Georgia,4.3,2016
China,4.2,2016
Jordan,4.2,2016
Kuwait,4.2,2016
Thailand,4.2,2016
Sri Lanka,4.2,2016
Ukraine,4.2,2016
South Africa,4.2,2016
Romania,4.1,2016
Trinidad and Tobago,4.1,2016
Colombia,4.1,2016
Bulgaria,4.1,2016
Greece,4.1,2016
Moldova,4,2016
Brazil,4,2016
Indonesia,4,2016
Seychelles,4,2016
Serbia,4,2016
Mexico,4,2016
Philippines,4,2016
Morocco,3.9,2016
Viet Nam,3.9,2016
Rwanda,3.9,2016
Tunisia,3.9,2016
Ecuador,3.9,2016
Jamaica,3.9,2016
Albania,3.9,2016
Cape Verde,3.8,2016
Kenya,3.8,2016
Bhutan,3.8,2016
Lebanon,3.8,2016
Argentina,3.8,2016
Peru,3.8,2016
India,3.8,2016
"Iran, Islamic Rep.",3.7,2016
El Salvador,3.7,2016
Honduras,3.7,2016
Kyrgyz Republic,3.7,2016
Egypt,3.7,2016
Bosnia and Herzegovina,3.6,2016
Dominican Republic,3.6,2016
Namibia,3.6,2016
Guyana,3.6,2016
Botswana,3.5,2016
Ghana,3.5,2016
Guatemala,3.5,2016
Lao PDR,3.4,2016
Paraguay,3.4,2016
Côte d'Ivoire,3.4,2016
Senegal,3.4,2016
Venezuela,3.4,2016
Cambodia,3.4,2016
Pakistan,3.4,2016
Bolivia,3.3,2016
Bangladesh,3.3,2016
"Gambia, The",3.3,2016
Tajikistan,3.3,2016
Lesotho,3.3,2016
Zambia,3.2,2016
Algeria,3.2,2016
Nepal,3.2,2016
Nigeria,3.2,2016
Ethiopia,3.1,2016
Uganda,3.1,2016
Zimbabwe,3,2016
Mozambique,3,2016
Cameroon,3,2016
Gabon,2.9,2016
Tanzania,2.9,2016
Mali,2.9,2016
Benin,2.9,2016
Eswatini,2.9,2016
Liberia,2.8,2016
Nicaragua,2.8,2016
Malawi,2.7,2016
Myanmar,2.7,2016
Guinea,2.6,2016
Madagascar,2.6,2016
Mauritania,2.5,2016
Haiti,2.5,2016
Burundi,2.4,2016
Chad,2.2,2016
