location_country,date_year,stem_percent_female_graduates
Afghanistan,2014,10.63276958
Albania,2000,29.96845055
Albania,2003,44.20063019
Albania,2011,48.06420898
Albania,2013,52.19855118
Albania,2014,52.44797897
Algeria,2007,46.5290184
Algeria,2009,47.850811
Algeria,2010,48.80118179
Algeria,2011,48.77674103
Algeria,2013,46.86013031
Algeria,2014,54.36790085
Andorra,2002,30
Andorra,2003,23.52940941
Andorra,2004,11.76471043
Andorra,2005,13.63636017
Andorra,2008,10
Andorra,2012,33.33332825
Andorra,2013,33.33332825
Andorra,2014,25
Angola,1999,37.5
Angola,2002,40.625
Angola,2013,30.49748039
Antigua and Barbuda,2009,34.21052933
Antigua and Barbuda,2010,70.58824158
Antigua and Barbuda,2011,75
Antigua and Barbuda,2012,33.33332825
Argentina,2006,44.82588959
Argentina,2007,47.28139877
Argentina,2008,43.27199173
Argentina,2009,44.1858902
Argentina,2010,43.48072815
Argentina,2011,75.44944
Argentina,2012,41.98389816
Argentina,2013,43.4781189
Armenia,2010,38.32345963
Armenia,2014,41.77536011
Aruba,1999,16.41790962
Aruba,2000,14.75409985
Aruba,2001,10.81081009
Aruba,2002,22.58065033
Aruba,2003,12.24489975
Aruba,2004,18.18181992
Aruba,2005,11.2903204
Aruba,2007,13.23528957
Aruba,2008,13.23528957
Aruba,2009,17.85713959
Aruba,2010,7.547170162
Aruba,2011,14.89361954
Aruba,2012,19.69696999
Australia,1999,32.88138962
Australia,2000,32.90851974
Australia,2001,30.58608055
Australia,2002,30.80875969
Australia,2003,30.45239067
Australia,2005,31.33731079
Australia,2006,30.09810066
Australia,2007,30.95767975
Australia,2008,30.32085991
Australia,2009,29.97890091
Australia,2010,29.32242012
Australia,2011,29.10416985
Australia,2014,29.76535988
Austria,2000,19.93071938
Austria,2001,21.00229073
Austria,2003,21.07807922
Austria,2004,22.55809021
Austria,2005,23.33102036
Austria,2007,23.83415031
Austria,2008,24.22738075
Austria,2009,24.10560036
Austria,2010,23.48900986
Austria,2011,25.14536095
Austria,2012,25.54019928
Austria,2013,25.1464901
Austria,2014,25.48241043
Azerbaijan,2008,40.60779953
Azerbaijan,2009,40.0952301
Azerbaijan,2010,42.73070908
Azerbaijan,2011,43.47826004
Azerbaijan,2012,42.05693054
Azerbaijan,2013,35.75722885
Azerbaijan,2014,30.69940948
Bahrain,2003,50
Bahrain,2005,53.78548813
Bahrain,2006,45.93022919
Bahrain,2014,42.56560135
Bangladesh,2002,28.55920982
Bangladesh,2003,23.74571037
Bangladesh,2012,36.40341949
Bangladesh,2014,36.49734116
Barbados,2007,53.55450058
Barbados,2010,53.03030014
Barbados,2011,40.50278854
Belarus,2010,18.62027931
Belarus,2011,33.37253189
Belarus,2012,32.52256012
Belarus,2013,31.76926994
Belarus,2014,30.77820015
Belgium,2000,24.97097015
Belgium,2001,23.89908981
Belgium,2002,24.62343979
Belgium,2006,26.49035072
Belgium,2008,25.87194061
Belgium,2009,27.15064049
Belgium,2010,23.99468994
Belgium,2011,24.67240906
Belgium,2012,24.20002937
Belgium,2013,24.54634094
Benin,1999,20.04830933
Benin,2009,19.15052032
Benin,2010,17.52136993
Benin,2011,19.16902924
Bermuda,2001,26.66666985
Bermuda,2005,38.88888931
Bermuda,2007,18.91892052
Bermuda,2009,24.2424202
Bermuda,2010,38.09524155
Bermuda,2011,39.13042831
Bermuda,2012,25.71429062
Bermuda,2014,100
Bhutan,2013,24.94278908
Bosnia and Herzegovina,2013,41.57022095
Bosnia and Herzegovina,2014,42.08763885
Brazil,2001,37.93598175
Brazil,2002,37.39284897
Brazil,2003,37.12012863
Brazil,2004,36.38819122
Brazil,2005,35.29896927
Brazil,2007,32.68527985
Brazil,2008,33.53388977
Brazil,2009,31.59012032
Brazil,2010,29.2876606
Brazil,2011,30.4491291
Brazil,2012,31.0992794
Brazil,2014,33.83197021
Brunei,1999,52.30768967
Brunei,2000,48.83721161
Brunei,2001,42.74808884
Brunei,2003,48.4375
Brunei,2004,42.40505981
Brunei,2005,44.19889832
Brunei,2006,62.33766174
Brunei,2007,39.13042831
Brunei,2008,49.13793182
Brunei,2009,50.39369965
Brunei,2010,41.6893692
Brunei,2011,50.53190994
Brunei,2012,49.43503189
Brunei,2013,52.66989899
Brunei,2014,50.84408951
Bulgaria,1999,46.01004028
Bulgaria,2000,45.62902069
Bulgaria,2001,40.13381958
Bulgaria,2002,39.66801071
Bulgaria,2003,42.12673187
Bulgaria,2004,41.67615891
Bulgaria,2005,41.13592148
Bulgaria,2007,41.24776077
Bulgaria,2008,36.95608139
Bulgaria,2009,37.40106964
Bulgaria,2010,38.81529999
Bulgaria,2011,38.75511932
Bulgaria,2012,37.63291168
Bulgaria,2013,38.3217392
Bulgaria,2014,37.16563034
Burkina Faso,2011,15.16534042
Burkina Faso,2012,18.75258064
Burkina Faso,2013,19.68254089
Burundi,2004,9.909910202
Burundi,2010,35.20598984
Burundi,2011,19.55484962
Burundi,2012,33.5
Cambodia,2000,25
Cambodia,2001,21.68284988
Cambodia,2002,18.12227058
Cambodia,2004,12.05519009
Cambodia,2007,11.35964966
Cambodia,2008,9.63105011
Canada,1998,29.7854805
Canada,1999,30.59884071
Canada,2002,31.60267067
Cayman Islands,2006,53.84614944
Cayman Islands,2007,15
Cayman Islands,2008,32.9113884
Chad,2000,4.08163023
Chile,2003,24.26053047
Chile,2004,24.78561974
Chile,2006,25.74101067
Chile,2007,22.02601051
Chile,2008,22.52326965
Chile,2009,20.72534943
Chile,2010,19.49593925
Chile,2012,19.32814026
Chile,2014,18.2441597
Colombia,2002,36.78437042
Colombia,2004,38.00915909
Colombia,2005,36.78459167
Colombia,2006,36.55031967
Colombia,2007,37.66849136
Colombia,2008,26.67935944
Colombia,2009,36.84589005
Colombia,2011,34.28125
Colombia,2012,33.8652916
