Country,population,percentage_males,percentage_females,percentage_age_0_to_14,percentage_age_15_to_24,percentage_age_25_to_64,percentage_age_65_plus
China,"1,385,566,537",51.80%,48.20%,18.20%,13.60%,58.80%,9.50%
India,"1,252,139,596",51.70%,48.30%,28.40%,18.30%,47.90%,5.50%
United States of America,"320,050,716",49.20%,50.80%,19.40%,13.60%,52.30%,14.70%
Indonesia,"249,865,631",50.30%,49.70%,28.10%,16.80%,49.70%,5.40%
Brazil,"200,361,925",49.20%,50.80%,23.10%,16.50%,52.40%,8.00%
Pakistan,"182,142,594",51.40%,48.60%,32.80%,20.90%,41.90%,4.40%
Nigeria,"173,615,345",50.90%,49.10%,44.40%,18.90%,34.00%,2.70%
Bangladesh,"156,594,962",50.60%,49.40%,29.00%,19.70%,46.50%,4.90%
Russian Federation,"142,833,689",46.10%,53.90%,16.50%,11.00%,59.30%,13.20%
Japan,"127,143,577",48.70%,51.30%,12.90%,9.50%,51.20%,26.40%
Mexico,"122,332,399",48.40%,51.60%,27.40%,18.30%,47.50%,6.80%
Philippines,"98,393,574",50.10%,49.90%,33.40%,19.60%,43.00%,4.10%
Ethiopia,"94,100,756",50.00%,50.00%,41.40%,21.60%,33.40%,3.50%
Viet Nam,"91,679,733",49.40%,50.60%,22.40%,16.90%,53.90%,6.80%
Germany,"82,726,626",49.10%,50.90%,12.90%,10.30%,55.30%,21.40%
Egypt,"82,056,378",50.20%,49.80%,30.90%,17.80%,45.40%,5.90%
Iran (Islamic Republic of),"77,447,168",50.30%,49.70%,24.10%,16.00%,54.40%,5.50%
Turkey,"74,932,641",49.10%,50.90%,24.90%,16.60%,50.70%,7.70%
Democratic Republic of the Congo,"67,513,677",49.70%,50.30%,44.50%,20.00%,32.60%,2.90%
Thailand,"67,010,502",49.00%,51.00%,17.50%,13.30%,58.80%,10.40%
France,"64,291,280",48.40%,51.60%,18.10%,12.20%,51.00%,18.70%
United Kingdom,"63,136,265",49.30%,50.70%,17.60%,12.00%,52.30%,18.10%
Italy,"60,990,277",48.60%,51.40%,14.00%,9.80%,54.40%,21.70%
Myanmar,"53,259,018",48.50%,51.50%,24.20%,17.30%,53.10%,5.40%
South Africa,"52,776,130",48.50%,51.50%,29.30%,17.90%,47.10%,5.70%
Republic of Korea,"49,262,698",49.70%,50.30%,14.20%,13.50%,59.30%,13.00%
