occupation_name,occupation_types,date_year
Actuaries,"Research, Development, Design, and Practitioners",2022
Acupuncturists,"Research, Development, Design, and Practitioners",2022
Acute Care Nurses,"Research, Development, Design, and Practitioners",2022
Advanced Practice Psychiatric Nurses,"Research, Development, Design, and Practitioners",2022
Aerospace Engineering and Operations Technologists and Technicians,Technologists and Technicians,2022
Aerospace Engineers,"Research, Development, Design, and Practitioners",2022
Agricultural Engineers,"Research, Development, Design, and Practitioners",2022
"Agricultural Sciences Teachers, Postsecondary",Postsecondary Teaching,2022
Agricultural Technicians,Technologists and Technicians,2022
Allergists and Immunologists,"Research, Development, Design, and Practitioners",2022
Anesthesiologist Assistants,"Research, Development, Design, and Practitioners",2022
Anesthesiologists,"Research, Development, Design, and Practitioners",2022
Animal Scientists,"Research, Development, Design, and Practitioners",2022
Anthropologists and Archeologists,"Research, Development, Design, and Practitioners",2022
"Anthropology and Archeology Teachers, Postsecondary",Postsecondary Teaching,2022
"Architects, Except Landscape and Naval","Research, Development, Design, and Practitioners",2022
Architectural and Civil Drafters,Technologists and Technicians,2022
Architectural and Engineering Managers,Managerial,2022
"Architecture Teachers, Postsecondary",Postsecondary Teaching,2022
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Postsecondary Teaching,2022
Art Therapists,"Research, Development, Design, and Practitioners",2022
Astronomers,"Research, Development, Design, and Practitioners",2022
Athletic Trainers,"Research, Development, Design, and Practitioners",2022
Atmospheric and Space Scientists,"Research, Development, Design, and Practitioners",2022
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Postsecondary Teaching,2022
Audiologists,"Research, Development, Design, and Practitioners",2022
Automotive Engineering Technicians,Technologists and Technicians,2022
Automotive Engineers,"Research, Development, Design, and Practitioners",2022
Biochemists and Biophysicists,"Research, Development, Design, and Practitioners",2022
Bioengineers and Biomedical Engineers,"Research, Development, Design, and Practitioners",2022
Biofuels/Biodiesel Technology and Product Development Managers,Managerial,2022
Bioinformatics Scientists,"Research, Development, Design, and Practitioners",2022
Bioinformatics Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Biological Science Teachers, Postsecondary",Postsecondary Teaching,2022
"Biological Scientists, All Other","Research, Development, Design, and Practitioners",2022
Biological Technicians,Technologists and Technicians,2022
Biologists,"Research, Development, Design, and Practitioners",2022
Biostatisticians,"Research, Development, Design, and Practitioners",2022
Blockchain Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Business Intelligence Analysts,"Research, Development, Design, and Practitioners",2022
Calibration Technologists and Technicians,Technologists and Technicians,2022
Cardiologists,"Research, Development, Design, and Practitioners",2022
Cardiovascular Technologists and Technicians,Technologists and Technicians,2022
Cartographers and Photogrammetrists,Technologists and Technicians,2022
Chemical Engineers,"Research, Development, Design, and Practitioners",2022
Chemical Technicians,Technologists and Technicians,2022
"Chemistry Teachers, Postsecondary",Postsecondary Teaching,2022
Chemists,"Research, Development, Design, and Practitioners",2022
Chiropractors,"Research, Development, Design, and Practitioners",2022
Civil Engineering Technologists and Technicians,Technologists and Technicians,2022
Civil Engineers,"Research, Development, Design, and Practitioners",2022
Climate Change Policy Analysts,"Research, Development, Design, and Practitioners",2022
Clinical and Counseling Psychologists,"Research, Development, Design, and Practitioners",2022
Clinical Data Managers,"Research, Development, Design, and Practitioners",2022
Clinical Neuropsychologists,"Research, Development, Design, and Practitioners",2022
Clinical Nurse Specialists,"Research, Development, Design, and Practitioners",2022
Clinical Research Coordinators,Managerial,2022
Computer and Information Research Scientists,"Research, Development, Design, and Practitioners",2022
Computer and Information Systems Managers,Managerial,2022
Computer Hardware Engineers,"Research, Development, Design, and Practitioners",2022
Computer Network Architects,"Research, Development, Design, and Practitioners",2022
Computer Network Support Specialists,Technologists and Technicians,2022
"Computer Occupations, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Computer Programmers,"Research, Development, Design, and Practitioners",2022
"Computer Science Teachers, Postsecondary",Postsecondary Teaching,2022
Computer Systems Analysts,"Research, Development, Design, and Practitioners",2022
Computer Systems Engineers/Architects,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Computer User Support Specialists,Technologists and Technicians,2022
Conservation Scientists,"Research, Development, Design, and Practitioners",2022
Critical Care Nurses,"Research, Development, Design, and Practitioners",2022
Cytogenetic Technologists,Technologists and Technicians,2022
Cytotechnologists,Technologists and Technicians,2022
Data Scientists,"Research, Development, Design, and Practitioners",2022
Data Warehousing Specialists,"Research, Development, Design, and Practitioners",2022
Database Administrators,"Research, Development, Design, and Practitioners",2022
Database Architects,"Research, Development, Design, and Practitioners",2022
Dental Hygienists,"Research, Development, Design, and Practitioners",2022
"Dentists, All Other Specialists","Research, Development, Design, and Practitioners",2022
"Dentists, General","Research, Development, Design, and Practitioners",2022
Dermatologists,"Research, Development, Design, and Practitioners",2022
Diagnostic Medical Sonographers,Technologists and Technicians,2022
Dietetic Technicians,Technologists and Technicians,2022
Dietitians and Nutritionists,"Research, Development, Design, and Practitioners",2022
Digital Forensics Analysts,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Document Management Specialists,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Drafters, All Other",Technologists and Technicians,2022
"Economics Teachers, Postsecondary",Postsecondary Teaching,2022
Economists,"Research, Development, Design, and Practitioners",2022
Electrical and Electronic Engineering Technologists and Technicians,Technologists and Technicians,2022
Electrical and Electronics Drafters,Technologists and Technicians,2022
Electrical Engineers,"Research, Development, Design, and Practitioners",2022
Electro-Mechanical and Mechatronics Technologists and Technicians,Technologists and Technicians,2022
"Electronics Engineers, Except Computer","Research, Development, Design, and Practitioners",2022
Emergency Medical Technicians,Technologists and Technicians,2022
Emergency Medicine Physicians,"Research, Development, Design, and Practitioners",2022
"Energy Engineers, Except Wind and Solar","Research, Development, Design, and Practitioners",2022
"Engineering Teachers, Postsecondary",Postsecondary Teaching,2022
"Engineering Technologists and Technicians, Except Drafters, All Other",Technologists and Technicians,2022
"Engineers, All Other","Research, Development, Design, and Practitioners",2022
Environmental Economists,"Research, Development, Design, and Practitioners",2022
Environmental Engineering Technologists and Technicians,Technologists and Technicians,2022
Environmental Engineers,"Research, Development, Design, and Practitioners",2022
Environmental Restoration Planners,"Research, Development, Design, and Practitioners",2022
"Environmental Science and Protection Technicians, Including Health",Technologists and Technicians,2022
"Environmental Science Teachers, Postsecondary",Postsecondary Teaching,2022
"Environmental Scientists and Specialists, Including Health","Research, Development, Design, and Practitioners",2022
Epidemiologists,"Research, Development, Design, and Practitioners",2022
Exercise Physiologists,"Research, Development, Design, and Practitioners",2022
Family Medicine Physicians,"Research, Development, Design, and Practitioners",2022
Fire-Prevention and Protection Engineers,"Research, Development, Design, and Practitioners",2022
Food Science Technicians,Technologists and Technicians,2022
Food Scientists and Technologists,"Research, Development, Design, and Practitioners",2022
Forensic Science Technicians,Technologists and Technicians,2022
Forest and Conservation Technicians,Technologists and Technicians,2022
Foresters,"Research, Development, Design, and Practitioners",2022
"Forestry and Conservation Science Teachers, Postsecondary",Postsecondary Teaching,2022
Fuel Cell Engineers,"Research, Development, Design, and Practitioners",2022
General Internal Medicine Physicians,"Research, Development, Design, and Practitioners",2022
Genetic Counselors,"Research, Development, Design, and Practitioners",2022
Geneticists,"Research, Development, Design, and Practitioners",2022
Geodetic Surveyors,Technologists and Technicians,2022
Geographers,"Research, Development, Design, and Practitioners",2022
Geographic Information Systems Technologists and Technicians,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Geography Teachers, Postsecondary",Postsecondary Teaching,2022
"Geological Technicians, Except Hydrologic Technicians",Technologists and Technicians,2022
"Geoscientists, Except Hydrologists and Geographers","Research, Development, Design, and Practitioners",2022
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Research, Development, Design, and Practitioners",2022
Health Informatics Specialists,"Research, Development, Design, and Practitioners",2022
Health Information Technologists and Medical Registrars,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Health Specialties Teachers, Postsecondary",Postsecondary Teaching,2022
"Health Technologists and Technicians, All Other",Technologists and Technicians,2022
"Healthcare Diagnosing or Treating Practitioners, All Other","Research, Development, Design, and Practitioners",2022
"Healthcare Practitioners and Technical Workers, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Hearing Aid Specialists,Technologists and Technicians,2022
Histology Technicians,Technologists and Technicians,2022
Histotechnologists,Technologists and Technicians,2022
Hospitalists,"Research, Development, Design, and Practitioners",2022
Human Factors Engineers and Ergonomists,"Research, Development, Design, and Practitioners",2022
Hydrologic Technicians,Technologists and Technicians,2022
Hydrologists,"Research, Development, Design, and Practitioners",2022
Industrial Ecologists,"Research, Development, Design, and Practitioners",2022
Industrial Engineering Technologists and Technicians,Technologists and Technicians,2022
Industrial Engineers,"Research, Development, Design, and Practitioners",2022
Industrial-Organizational Psychologists,"Research, Development, Design, and Practitioners",2022
Information Security Analysts,"Research, Development, Design, and Practitioners",2022
Information Security Engineers,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Information Technology Project Managers,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Landscape Architects,"Research, Development, Design, and Practitioners",2022
Licensed Practical and Licensed Vocational Nurses,Technologists and Technicians,2022
"Life Scientists, All Other","Research, Development, Design, and Practitioners",2022
"Life, Physical, and Social Science Technicians, All Other",Technologists and Technicians,2022
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Research, Development, Design, and Practitioners",2022
Magnetic Resonance Imaging Technologists,Technologists and Technicians,2022
Manufacturing Engineers,"Research, Development, Design, and Practitioners",2022
Marine Engineers and Naval Architects,"Research, Development, Design, and Practitioners",2022
Materials Engineers,"Research, Development, Design, and Practitioners",2022
Materials Scientists,"Research, Development, Design, and Practitioners",2022
"Mathematical Science Occupations, All Other","Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Mathematical Science Teachers, Postsecondary",Postsecondary Teaching,2022
Mathematicians,"Research, Development, Design, and Practitioners",2022
Mechanical Drafters,Technologists and Technicians,2022
Mechanical Engineering Technologists and Technicians,Technologists and Technicians,2022
Mechanical Engineers,"Research, Development, Design, and Practitioners",2022
Mechatronics Engineers,"Research, Development, Design, and Practitioners",2022
Medical and Clinical Laboratory Technicians,Technologists and Technicians,2022
Medical and Clinical Laboratory Technologists,Technologists and Technicians,2022
Medical and Health Services Managers,Managerial,2022
Medical Dosimetrists,Technologists and Technicians,2022
Medical Records Specialists,Technologists and Technicians,2022
"Medical Scientists, Except Epidemiologists","Research, Development, Design, and Practitioners",2022
Microbiologists,"Research, Development, Design, and Practitioners",2022
Microsystems Engineers,"Research, Development, Design, and Practitioners",2022
Midwives,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
"Mining and Geological Engineers, Including Mining Safety Engineers","Research, Development, Design, and Practitioners",2022
Molecular and Cellular Biologists,"Research, Development, Design, and Practitioners",2022
Music Therapists,"Research, Development, Design, and Practitioners",2022
Nanosystems Engineers,"Research, Development, Design, and Practitioners",2022
Nanotechnology Engineering Technologists and Technicians,Technologists and Technicians,2022
Natural Sciences Managers,Managerial,2022
Naturopathic Physicians,"Research, Development, Design, and Practitioners",2022
Network and Computer Systems Administrators,"Research, Development, Design, and Practitioners",2022
Neurodiagnostic Technologists,Technologists and Technicians,2022
Neurologists,"Research, Development, Design, and Practitioners",2022
Neuropsychologists,"Research, Development, Design, and Practitioners",2022
Non-Destructive Testing Specialists,Technologists and Technicians,2022
Nuclear Engineers,"Research, Development, Design, and Practitioners",2022
Nuclear Medicine Technologists,Technologists and Technicians,2022
Nuclear Monitoring Technicians,Technologists and Technicians,2022
Nuclear Technicians,Technologists and Technicians,2022
Nurse Anesthetists,"Research, Development, Design, and Practitioners",2022
Nurse Midwives,"Research, Development, Design, and Practitioners",2022
Nurse Practitioners,"Research, Development, Design, and Practitioners",2022
"Nursing Instructors and Teachers, Postsecondary",Postsecondary Teaching,2022
Obstetricians and Gynecologists,"Research, Development, Design, and Practitioners",2022
Occupational Therapists,"Research, Development, Design, and Practitioners",2022
Operations Research Analysts,"Research, Development, Design, and Practitioners",2022
Ophthalmic Medical Technicians,Technologists and Technicians,2022
Ophthalmic Medical Technologists,Technologists and Technicians,2022
"Ophthalmologists, Except Pediatric","Research, Development, Design, and Practitioners",2022
"Opticians, Dispensing",Technologists and Technicians,2022
Optometrists,"Research, Development, Design, and Practitioners",2022
Oral and Maxillofacial Surgeons,"Research, Development, Design, and Practitioners",2022
Orthodontists,"Research, Development, Design, and Practitioners",2022
"Orthopedic Surgeons, Except Pediatric","Research, Development, Design, and Practitioners",2022
Orthoptists,"Research, Development, Design, and Practitioners",2022
Orthotists and Prosthetists,Technologists and Technicians,2022
Paramedics,Technologists and Technicians,2022
Park Naturalists,"Research, Development, Design, and Practitioners",2022
Patient Representatives,Technologists and Technicians,2022
Pediatric Surgeons,"Research, Development, Design, and Practitioners",2022
"Pediatricians, General","Research, Development, Design, and Practitioners",2022
Penetration Testers,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
Petroleum Engineers,"Research, Development, Design, and Practitioners",2022
Pharmacists,"Research, Development, Design, and Practitioners",2022
Pharmacy Technicians,Technologists and Technicians,2022
Photonics Engineers,"Research, Development, Design, and Practitioners",2022
Photonics Technicians,Technologists and Technicians,2022
Physical Medicine and Rehabilitation Physicians,"Research, Development, Design, and Practitioners",2022
"Physical Scientists, All Other","Research, Development, Design, and Practitioners",2022
Physical Therapists,"Research, Development, Design, and Practitioners",2022
Physician Assistants,"Research, Development, Design, and Practitioners",2022
"Physicians, All Other","Research, Development, Design, and Practitioners",2022
"Physicians, Pathologists","Research, Development, Design, and Practitioners",2022
Physicists,"Research, Development, Design, and Practitioners",2022
"Physics Teachers, Postsecondary",Postsecondary Teaching,2022
Podiatrists,"Research, Development, Design, and Practitioners",2022
"Political Science Teachers, Postsecondary",Postsecondary Teaching,2022
Political Scientists,"Research, Development, Design, and Practitioners",2022
Precision Agriculture Technicians,Technologists and Technicians,2022
Preventive Medicine Physicians,"Research, Development, Design, and Practitioners",2022
Prosthodontists,"Research, Development, Design, and Practitioners",2022
Psychiatric Technicians,Technologists and Technicians,2022
Psychiatrists,"Research, Development, Design, and Practitioners",2022
"Psychologists, All Other","Research, Development, Design, and Practitioners",2022
"Psychology Teachers, Postsecondary",Postsecondary Teaching,2022
Quality Control Analysts,Technologists and Technicians,2022
Radiation Therapists,"Research, Development, Design, and Practitioners",2022
Radio Frequency Identification Device Specialists,"Research, Development, Design, and Practitioners",2022
Radiologic Technologists and Technicians,Technologists and Technicians,2022
Radiologists,"Research, Development, Design, and Practitioners",2022
Range Managers,"Research, Development, Design, and Practitioners",2022
Recreational Therapists,"Research, Development, Design, and Practitioners",2022
Registered Nurses,"Research, Development, Design, and Practitioners",2022
Remote Sensing Scientists and Technologists,"Research, Development, Design, and Practitioners",2022
Remote Sensing Technicians,Technologists and Technicians,2022
Respiratory Therapists,"Research, Development, Design, and Practitioners",2022
Robotics Engineers,"Research, Development, Design, and Practitioners",2022
Robotics Technicians,Technologists and Technicians,2022
Sales Engineers,Sales,2022
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales,2022
School Psychologists,"Research, Development, Design, and Practitioners",2022
Social Science Research Assistants,Technologists and Technicians,2022
"Social Sciences Teachers, Postsecondary, All Other",Postsecondary Teaching,2022
"Social Scientists and Related Workers, All Other","Research, Development, Design, and Practitioners",2022
Sociologists,"Research, Development, Design, and Practitioners",2022
"Sociology Teachers, Postsecondary",Postsecondary Teaching,2022
Software Developers,"Research, Development, Design, and Practitioners",2022
Software Quality Assurance Analysts and Testers,"Research, Development, Design, and Practitioners",2022
Soil and Plant Scientists,"Research, Development, Design, and Practitioners",2022
Solar Energy Systems Engineers,"Research, Development, Design, and Practitioners",2022
Solar Sales Representatives and Assessors,Sales,2022
Speech-Language Pathologists,"Research, Development, Design, and Practitioners",2022
Sports Medicine Physicians,"Research, Development, Design, and Practitioners",2022
Statisticians,"Research, Development, Design, and Practitioners",2022
"Surgeons, All Other","Research, Development, Design, and Practitioners",2022
Surgical Assistants,"Research, Development, Design, and Practitioners",2022
Surgical Technologists,Technologists and Technicians,2022
Survey Researchers,"Research, Development, Design, and Practitioners",2022
Surveying and Mapping Technicians,Technologists and Technicians,2022
Surveyors,Technologists and Technicians,2022
Telecommunications Engineering Specialists,"Research, Development, Design, and Practitioners",2022
"Therapists, All Other","Research, Development, Design, and Practitioners",2022
Transportation Engineers,"Research, Development, Design, and Practitioners",2022
Transportation Planners,"Research, Development, Design, and Practitioners",2022
Urban and Regional Planners,"Research, Development, Design, and Practitioners",2022
Urologists,"Research, Development, Design, and Practitioners",2022
Validation Engineers,"Research, Development, Design, and Practitioners",2022
Veterinarians,"Research, Development, Design, and Practitioners",2022
Veterinary Technologists and Technicians,Technologists and Technicians,2022
Video Game Designers,"Research, Development, Design, and Practitioners",2022
Water Resource Specialists,Managerial,2022
Water/Wastewater Engineers,"Research, Development, Design, and Practitioners",2022
Web Administrators,"Research, Development, Design, and Practitioners; Technologists and Technicians",2022
